,identifier,start,end,description
0,0,30227,30270,"('transfer',)"
1,0,30386,31433,"('mixing',)"
2,0,32258,32391,"('transfer',)"
3,0,34488,34579,"('transfer',)"
4,0,35130,36885,"('pestling',)"
5,0,39150,39556,"('pouring',)"
6,0,39651,40687,"('pestling',)"
7,0,41421,42196,"('pestling',)"
8,0,42975,43041,"('transfer',)"
9,0,44748,45544,"('pipetting',)"
10,0,47742,48570,"('pipetting',)"
11,0,48778,49024,"('pouring',)"
12,0,49534,49936,"('transfer',)"
13,0,53377,53497,"('transfer',)"
14,0,53926,56688,"('pestling',)"
15,0,58740,59266,"('pouring',)"
16,0,59666,61478,"('pestling',)"
