,identifier,start,end,description
0,0,1227,1498,"('transfer',)"
1,0,1916,2129,"('mixing',)"
2,0,2728,3457,"('pipetting',)"
3,0,4317,5528,"('stirring',)"
4,0,8524,8790,"('mixing',)"
5,0,10074,11436,"('cutting',)"
6,0,11842,12724,"('cutting',)"
7,0,13846,14709,"('pipetting',)"
8,0,15213,15841,"('pouring',)"
9,0,16197,16369,"('pouring',)"
10,0,16813,16909,"('transfer',)"
11,0,20848,21178,"('stirring',)"
12,0,21397,23388,"('pipetting',)"
13,0,23827,24676,"('pouring',)"
14,0,25420,25614,"('mixing',)"
15,0,26089,28199,"('cutting',)"
16,0,28713,28949,"('mixing',)"
17,0,29186,29648,"('pouring',)"
18,0,29813,29998,"('pipetting',)"
