default		00:00:23.650	23.65	00:00:28.767	28.767	00:00:05.117	5.117	transfer
default		00:00:40.603	40.603	00:00:42.672	42.672	00:00:02.069	2.069	pouring
default		00:00:55.323	55.323	00:01:10.575	70.575	00:00:15.252	15.252	pipetting
default		00:01:26.624	86.624	00:01:51.045	111.045	00:00:24.421	24.421	stirring
default		00:02:50.963	170.963	00:02:54.814	174.814	00:00:03.851	3.851	pouring
default		00:03:21.231	201.231	00:04:15.478	255.478	00:00:54.247	54.247	cutting
default		00:04:48.231	288.231	00:04:54.506	294.506	00:00:06.275	6.275	pipetting
default		00:04:55.729	295.729	00:04:57.461	297.461	00:00:01.732	1.732	stirring
default		00:05:04.565	304.565	00:05:17.067	317.067	00:00:12.502	12.502	stirring
default		00:05:23.839	323.839	00:05:27.587	327.587	00:00:03.748	3.748	stirring
default		00:05:36.207	336.207	00:05:38.099	338.099	00:00:01.892	1.892	pouring
default		00:07:01.907	421.907	00:07:03.284	423.284	00:00:01.377	1.377	pouring
default		00:07:07.908	427.908	00:07:47.743	467.743	00:00:39.835	39.835	pipetting
default		00:07:55.864	475.864	00:08:12.569	492.569	00:00:16.705	16.705	stirring
default		00:08:29.333	509.333	00:08:32.838	512.838	00:00:03.505	3.505	pouring
default		00:08:42.333	522.333	00:09:24.603	564.603	00:00:42.270	42.27	cutting
default		00:09:34.396	574.396	00:09:39.305	579.305	00:00:04.909	4.909	mixing
default		00:09:44.393	584.393	00:09:51.899	591.899	00:00:07.506	7.506	stirring
