,identifier,start,end,description
0,0,29760,30349,"('pipetting',)"
1,0,30424,31488,"('stirring',)"
2,0,32181,32422,"('pouring',)"
3,0,34469,34632,"('pouring',)"
4,0,35147,36974,"('pestling',)"
5,0,38819,39212,"('pouring',)"
6,0,39679,40967,"('pestling',)"
7,0,41436,42219,"('pestling',)"
8,0,42880,43072,"('pouring',)"
9,0,44635,45596,"('pipetting',)"
10,0,48797,49024,"('pouring',)"
11,0,49476,49953,"('pipetting',)"
12,0,53348,53528,"('pouring',)"
13,0,53921,56699,"('pestling',)"
14,0,58725,59210,"('pouring',)"
15,0,59677,61512,"('pestling',)"
