,identifier,start,end,description
0,0,1122,1513,"('pouring',)"
1,0,1825,2168,"('transfer',)"
2,0,2652,3643,"('pipetting',)"
3,0,4296,5042,"('stirring',)"
4,0,5204,5576,"('stirring',)"
5,0,8522,8749,"('pouring',)"
6,0,9642,11324,"('cutting',)"
7,0,11856,12726,"('cutting',)"
8,0,13297,13686,"('transfer',)"
9,0,13791,14753,"('pipetting',)"
10,0,14794,14891,"('stirring',)"
11,0,15246,15784,"('stirring',)"
12,0,16169,16341,"('stirring',)"
13,0,16771,16899,"('pouring',)"
14,0,20651,21251,"('transfer',)"
15,0,21303,23448,"('pipetting',)"
16,0,23771,24709,"('stirring',)"
17,0,25356,25654,"('pouring',)"
18,0,26013,28223,"('cutting',)"
19,0,28611,28924,"('transfer',)"
20,0,29137,29654,"('stirring',)"
21,0,29718,30337,"('pipetting',)"
