,identifier,start,end,description
0,0,30189,30331,"('pipetting',)"
1,0,30387,31605,"('pestling',)"
2,0,32172,32483,"('pouring',)"
3,0,34463,34632,"('pouring',)"
4,0,35138,37027,"('pestling',)"
5,0,39650,40847,"('pestling',)"
6,0,41437,42524,"('pestling',)"
7,0,42895,43120,"('pouring',)"
8,0,44729,45601,"('pipetting',)"
9,0,47776,48580,"('pipetting',)"
10,0,48756,49041,"('transfer',)"
11,0,49360,49945,"('pipetting',)"
12,0,53380,53549,"('pouring',)"
13,0,53932,56766,"('pestling',)"
14,0,58702,59251,"('pouring',)"
15,0,59684,60060,"('pestling',)"
