,identifier,start,end,description
0,0,1186,1500,"('transfer',)"
1,0,1929,2200,"('transfer',)"
2,0,2825,3629,"('pipetting',)"
3,0,4384,5562,"('stirring',)"
4,0,8553,8803,"('mixing',)"
5,0,10089,11138,"('cutting',)"
6,0,11880,12681,"('cutting',)"
7,0,13809,14703,"('pipetting',)"
8,0,15283,16355,"('stirring',)"
9,0,16808,16946,"('transfer',)"
10,0,20836,21224,"('mixing',)"
11,0,21333,23473,"('pipetting',)"
12,0,23852,24666,"('stirring',)"
13,0,25417,25651,"('transfer',)"
14,0,26097,28219,"('cutting',)"
15,0,28631,28906,"('transfer',)"
16,0,29226,29625,"('stirring',)"
17,0,29781,30150,"('pipetting',)"
