,identifier,start,end,description
0,0,30379,31581,"('stirring',)"
1,0,32189,32322,"('pipetting',)"
2,0,33489,33640,"('transfer',)"
3,0,34474,34578,"('pipetting',)"
4,0,35151,37003,"('pestling',)"
5,0,37213,38390,"('transfer',)"
6,0,39659,40669,"('pestling',)"
7,0,41416,42338,"('pestling',)"
8,0,42518,42733,"('pouring',)"
9,0,42888,43302,"('pipetting',)"
10,0,44094,44706,"('transfer',)"
11,0,45145,45622,"('transfer',)"
12,0,48122,48636,"('transfer',)"
13,0,48770,49066,"('pouring',)"
14,0,49378,49976,"('transfer',)"
15,0,53348,53466,"('pipetting',)"
16,0,53960,56871,"('pestling',)"
17,0,57196,59297,"('pouring',)"
18,0,59661,59955,"('pestling',)"
