,identifier,start,end,description
0,0,1228,1490,"('transfer',)"
1,0,1907,2138,"('transfer',)"
2,0,2804,3542,"('pipetting',)"
3,0,4375,5575,"('stirring',)"
4,0,8553,8728,"('pouring',)"
5,0,10094,10756,"('cutting',)"
6,0,11898,12633,"('cutting',)"
7,0,14118,14734,"('pipetting',)"
8,0,14822,14903,"('stirring',)"
9,0,15253,15808,"('stirring',)"
10,0,16180,16361,"('stirring',)"
11,0,16825,16888,"('pouring',)"
12,0,20821,21206,"('transfer',)"
13,0,21334,23393,"('pipetting',)"
14,0,23850,24621,"('stirring',)"
15,0,25459,25630,"('pouring',)"
16,0,26114,28212,"('cutting',)"
17,0,28652,28929,"('transfer',)"
18,0,29236,29664,"('mixing',)"
