,identifier,start,end,description
0,0,30230,30288,"('mixing',)"
1,0,30412,30839,"('stirring',)"
2,0,30880,31441,"('stirring',)"
3,0,32264,32391,"('pouring',)"
4,0,34490,34572,"('pouring',)"
5,0,35153,36892,"('pestling',)"
6,0,38727,39623,"('transfer',)"
7,0,39655,40180,"('pestling',)"
8,0,40253,40669,"('pestling',)"
9,0,41404,41791,"('pestling',)"
10,0,41908,42123,"('pestling',)"
11,0,42957,43064,"('pouring',)"
12,0,44756,44991,"('pipetting',)"
13,0,47763,48156,"('pipetting',)"
14,0,48308,48549,"('pipetting',)"
15,0,48784,48999,"('pouring',)"
16,0,49527,49905,"('transfer',)"
17,0,53391,53508,"('pouring',)"
18,0,53921,56667,"('pestling',)"
19,0,58711,59238,"('transfer',)"
20,0,59653,59995,"('pestling',)"
