,identifier,start,end,description
0,0,1164,1499,"('pouring',)"
1,0,1884,2159,"('transfer',)"
2,0,2755,3731,"('pipetting',)"
3,0,4373,5113,"('stirring',)"
4,0,5279,5614,"('stirring',)"
5,0,8529,8781,"('pouring',)"
6,0,10091,11457,"('cutting',)"
7,0,11902,12571,"('cutting',)"
8,0,13841,14759,"('pipetting',)"
9,0,14816,14922,"('stirring',)"
10,0,15276,15879,"('stirring',)"
11,0,16261,16395,"('stirring',)"
12,0,16776,16978,"('pouring',)"
13,0,20834,21253,"('transfer',)"
14,0,21307,23438,"('pipetting',)"
15,0,23884,24676,"('stirring',)"
16,0,25391,25614,"('pouring',)"
17,0,26082,28198,"('cutting',)"
18,0,29132,29667,"('mixing',)"
19,0,29823,30374,"('pipetting',)"
