,identifier,start,end,description
0,0,30016,30083,"('pipetting',)"
1,0,30226,30289,"('transfer',)"
2,0,30394,31418,"('stirring',)"
3,0,32177,32438,"('mixing',)"
4,0,34425,34608,"('transfer',)"
5,0,35137,36883,"('pestling',)"
6,0,39646,40840,"('pestling',)"
7,0,41403,42131,"('pestling',)"
8,0,42928,43071,"('mixing',)"
9,0,44745,44975,"('pipetting',)"
10,0,45056,45456,"('transfer',)"
11,0,47894,48108,"('pipetting',)"
12,0,48334,48551,"('pipetting',)"
13,0,48732,49004,"('pouring',)"
14,0,49529,49905,"('transfer',)"
15,0,53327,53523,"('mixing',)"
16,0,53930,56623,"('pestling',)"
17,0,58728,59240,"('pouring',)"
18,0,59654,60008,"('pestling',)"
