default		00:00:03.823	3.823	00:00:58.764	58.764	00:00:54.941	54.941	jogging (sidesteps)
default		00:01:48.176	108.176	00:02:16.117	136.117	00:00:27.941	27.941	jogging (sidesteps)
default		00:03:03.352	183.352	00:03:53.823	233.823	00:00:50.471	50.471	jogging (sidesteps)
default		00:04:42.411	282.411	00:05:08.647	308.647	00:00:26.236	26.236	bench-dips
default		00:05:50.881	350.881	00:06:17.881	377.881	00:00:27.000	27.0	bench-dips
default		00:06:52.058	412.058	00:06:54.352	414.352	00:00:02.294	2.294	bench-dips
default		00:07:00.587	420.587	00:07:28.940	448.94	00:00:28.353	28.353	bench-dips
default		00:08:09.117	489.117	00:08:25.705	505.705	00:00:16.588	16.588	stretching (shoulders)
default		00:08:27.999	507.999	00:08:38.763	518.763	00:00:10.764	10.764	stretching (shoulders)
default		00:09:19.293	559.293	00:09:30.940	570.94	00:00:11.647	11.647	stretching (shoulders)
default		00:09:33.176	573.176	00:09:44.411	584.411	00:00:11.235	11.235	stretching (shoulders)
default		00:09:46.410	586.41	00:09:49.410	589.41	00:00:03.000	3.0	stretching (shoulders)
